Temperature_C,Humidity_pct,CO2_ppm,Illuminance_lux,Productive
25.4,43.0,1469,456,0
21.4,55.2,1270,573,1
25.4,49.3,1286,82,0
30.2,57.2,1394,825,0
23.9,51.2,935,450,1
30.3,30.8,978,807,0
13.5,64.9,652,216,0
27.3,42.6,773,854,1
24.3,26.7,1146,593,1
22.8,43.6,1381,538,0
24.4,72.5,844,458,1
16.0,62.8,719,337,1
23.1,44.8,900,700,1
25.4,44.8,1140,435,0
29.9,45.2,400,0,0
21.9,81.2,400,120,0
20.8,55.7,679,353,1
22.0,56.5,411,477,1
27.7,65.5,696,385,1
25.3,53.6,840,704,1
21.9,46.1,718,0,1
26.1,47.1,1480,435,0
24.4,48.9,1030,0,0
27.9,49.4,1020,589,1
21.2,60.9,1148,376,1
22.7,50.8,444,504,1
22.4,61.0,1315,184,1
18.1,48.8,869,719,0
25.2,51.2,1168,660,1
25.0,20.0,471,545,1
24.0,63.7,400,367,1
23.1,55.2,1227,544,1
18.3,65.0,1050,223,0
22.3,6.6,539,613,1
22.6,81.3,552,812,1
20.8,47.9,1350,667,1
23.4,66.6,424,217,1
25.6,34.4,1557,490,0
31.5,59.2,539,76,0
24.7,34.2,1155,543,1
25.0,40.6,768,512,1
23.7,78.7,1141,0,0
16.3,47.1,682,109,1
23.9,53.3,834,329,1
24.2,63.1,916,324,1
33.9,57.4,499,97,0
23.2,52.3,1196,497,1
25.2,55.5,694,462,1
23.9,86.1,808,351,1
19.3,49.1,502,211,0
28.6,53.0,400,662,0
27.0,65.8,823,813,0
27.2,66.6,1865,279,0
20.4,67.8,1213,246,0
29.6,59.6,892,522,1
18.4,32.9,794,310,1
26.3,74.5,908,365,1
32.8,32.8,1118,584,0
20.0,54.5,427,0,1
21.7,38.7,1345,729,1
24.4,49.0,1186,418,1
22.0,54.9,1187,297,1
17.8,54.8,1075,377,1
24.3,56.3,907,390,1
19.8,74.2,1169,0,0
25.9,56.8,1136,773,1
20.3,46.3,758,410,1
30.2,64.5,670,510,0
20.9,67.8,940,637,1
22.7,31.6,1519,144,0
27.3,59.0,404,518,1
19.1,60.5,400,333,1
24.9,45.5,965,611,1
29.2,70.6,920,0,0
17.6,47.7,969,375,1
24.7,51.9,997,249,1
25.0,47.4,810,508,1
27.1,50.2,1495,517,0
19.1,33.6,400,223,1
18.7,28.4,568,221,0
26.1,73.9,858,372,0
25.2,37.3,400,175,1
25.0,35.1,829,610,1
25.4,17.7,1564,307,0
21.3,40.4,908,0,1
24.9,30.2,992,306,1
25.2,74.6,400,140,0
21.1,65.1,653,0,1
31.5,39.7,749,90,0
25.9,83.8,772,427,1
19.2,64.7,1412,732,0
26.6,45.1,1123,478,1
20.1,12.5,455,248,1
27.1,84.4,998,513,1
28.6,29.2,1099,285,0
20.7,25.3,1356,226,0
27.9,65.3,1532,111,0
25.7,86.6,493,0,0
27.3,70.8,575,302,1
31.6,58.5,400,439,1
23.0,58.9,806,375,1
21.0,62.8,1086,296,0
20.4,61.4,1294,163,0
20.7,54.2,869,552,1
23.7,51.6,772,70,1
25.4,49.1,960,594,0
25.1,38.7,565,149,0
27.3,45.8,1735,211,0
24.1,24.6,400,33,1
29.8,48.5,973,274,0
22.9,35.2,1709,643,1
34.9,33.4,902,528,0
26.5,52.7,823,644,1
20.6,70.9,757,530,1
19.7,63.8,827,124,0
25.9,26.4,1449,317,0
23.1,35.2,400,204,1
26.9,64.1,1513,732,0
25.9,35.3,400,100,1
23.7,46.6,793,623,1
20.6,58.3,728,623,1
17.9,35.5,1135,857,1
22.2,51.6,400,297,1
27.4,30.0,1084,578,1
24.9,41.0,1709,970,1
19.0,54.8,400,245,0
24.7,26.1,975,16,0
25.5,56.6,635,0,0
20.5,49.7,1070,578,1
24.6,58.3,907,0,0
24.2,53.4,643,306,1
19.4,70.5,1095,509,1
25.4,51.9,1621,446,0
26.2,43.6,823,506,0
28.3,51.8,1187,455,0
28.2,58.1,400,719,0
18.5,50.7,517,161,1
20.2,50.6,1088,230,1
26.1,39.5,1493,206,0
26.1,40.1,1042,607,0
26.1,29.0,774,625,1
39.4,76.2,899,512,0
26.3,31.3,400,695,1
28.5,39.6,1141,105,0
27.8,39.2,1252,816,1
26.6,63.4,719,780,0
22.7,45.6,711,583,1
27.0,68.7,1006,845,1
20.9,39.9,725,0,1
23.1,54.2,873,268,1
22.1,37.5,1739,216,1
24.3,82.2,801,580,0
33.3,32.2,756,137,0
16.5,54.6,640,589,1
26.7,59.5,1197,742,1
17.5,56.2,827,573,1
22.1,47.2,640,470,1
28.4,48.1,1428,153,0
24.3,50.7,1467,188,1
19.7,47.8,659,712,1
21.1,64.5,400,594,1
26.7,83.2,1303,390,0
21.1,41.6,626,295,1
24.9,29.5,1216,0,0
24.2,48.7,400,132,1
21.4,88.7,1257,877,1
32.6,37.9,415,79,0
26.5,74.6,1192,447,0
15.9,75.2,905,651,1
24.7,41.7,518,86,1
21.4,58.5,737,446,1
27.4,74.4,1174,634,0
20.8,44.3,942,403,1
23.5,46.9,1133,1117,1
26.0,41.3,1690,0,0
27.5,34.8,400,664,1
19.2,40.3,1546,356,0
22.7,31.6,941,592,1
22.1,50.5,540,510,1
21.4,38.5,400,216,1
31.1,53.5,824,457,0
25.6,26.7,1268,0,0
19.0,55.0,848,550,1
27.7,62.5,1504,474,0
32.5,20.1,400,559,0
28.1,55.6,895,664,0
17.9,68.4,400,491,1
22.1,31.9,1045,437,1
29.1,75.1,1254,179,0
21.2,56.3,731,221,1
25.8,39.4,400,696,1
27.1,49.2,979,759,0
20.3,58.4,1074,340,1
23.8,51.1,1061,411,1
11.0,58.1,1394,173,0
19.9,36.2,471,693,1
23.0,52.5,1172,566,1
19.0,28.8,1377,885,0
30.5,48.3,400,180,0
18.3,36.4,1027,305,0
22.2,39.0,698,457,1
24.5,68.5,867,561,1
29.8,66.4,1039,346,0
18.3,59.1,705,181,1
28.7,33.6,629,620,0
24.0,45.3,913,580,1
20.1,68.2,465,170,0
25.8,52.1,465,738,1
24.8,84.8,1171,692,1
21.6,55.9,440,433,1
24.3,52.9,1166,419,1
22.5,45.4,1085,538,1
24.5,52.0,400,184,1
26.6,47.7,628,407,1
30.3,60.6,1377,0,0
19.0,64.4,507,619,1
32.5,38.2,714,9,0
16.2,30.0,1084,775,1
23.4,22.5,1213,317,0
26.4,57.6,799,347,1
25.1,33.4,660,243,1
21.5,17.7,1468,327,1
23.2,55.8,1595,754,1
22.0,87.4,1291,0,0
21.6,49.9,934,719,1
27.4,62.6,576,484,1
25.4,51.2,567,98,1
21.2,48.5,1109,131,0
27.6,63.8,1067,819,0
25.2,45.6,1460,163,0
27.3,54.0,1160,111,0
26.5,54.8,400,684,1
20.7,40.0,1320,484,1
21.8,64.9,500,165,1
27.0,47.4,746,454,1
26.4,38.7,1000,143,0
23.9,58.0,1698,675,0
24.5,36.5,2143,665,0
29.1,50.4,1142,533,0
21.6,49.9,826,490,1
26.2,66.3,1113,840,0
23.2,57.1,1255,399,1
23.1,49.6,771,104,1
28.4,62.3,1618,512,0
27.3,70.9,992,921,1
27.3,58.4,1099,146,0
29.2,50.2,1166,309,0
24.1,30.3,1068,504,1
26.7,34.0,1235,386,0
22.8,45.4,653,154,1
25.3,40.9,676,680,1
23.5,47.2,459,980,1
24.4,50.8,1075,449,1
26.4,57.9,1211,173,0
20.7,48.9,1083,12,1
32.4,57.3,1569,464,0
20.0,51.0,897,675,1
19.1,20.4,1167,518,1
28.6,35.9,463,399,0
27.2,47.8,745,252,1
26.5,31.9,1178,126,1
26.5,59.0,1239,608,0
24.0,73.0,782,628,1
20.4,68.3,871,13,0
24.3,46.8,400,797,1
21.3,72.4,757,543,1
27.9,52.2,1256,749,0
23.4,44.9,1130,64,0
20.7,40.8,1100,58,0
22.7,45.5,919,362,1
25.7,44.2,902,525,0
21.7,52.6,635,849,1
20.7,52.4,1179,576,1
25.0,50.0,1068,339,1
25.0,56.6,1096,143,1
22.0,67.9,689,707,1
22.1,64.2,400,158,1
24.9,27.7,1338,807,1
18.2,11.7,708,328,1
18.4,64.0,554,797,0
21.1,29.5,1177,569,1
23.1,46.6,743,365,1
25.2,32.4,1323,270,0
29.9,23.0,1146,314,0
27.4,58.1,1173,507,1
23.4,61.4,400,419,1
23.9,41.4,1384,251,1
20.0,11.1,1004,358,1
23.9,41.8,752,419,1
22.8,55.9,957,0,0
25.3,27.8,400,514,1
20.7,52.8,1063,155,1
26.1,49.8,488,111,0
30.1,58.7,400,0,0
23.6,51.8,400,0,1
25.6,35.4,1345,61,0
26.8,67.9,648,222,0
22.4,47.6,1513,888,1
24.9,49.6,685,268,1
24.1,36.0,400,444,1
24.4,43.4,453,500,1
20.9,36.7,1394,432,1
24.1,47.4,837,380,1
26.0,75.7,680,101,0
29.8,29.4,964,762,0
27.8,25.8,1100,851,1
32.6,72.1,1346,0,0
20.9,46.9,1479,143,0
27.5,40.0,756,330,0
24.7,65.6,400,158,1
32.8,40.9,734,526,1
20.8,77.4,1004,217,0
20.6,60.2,514,941,1
21.6,42.7,517,697,1
15.5,82.4,1037,453,0
21.9,40.9,880,656,1
21.0,61.1,913,676,1
24.6,54.5,596,259,1
25.4,69.5,807,195,0
31.5,73.4,530,419,0
27.8,50.5,1256,615,0
21.7,38.7,1314,434,1
20.4,56.9,400,5,1
26.0,39.8,528,199,1
18.7,80.2,400,381,1
31.3,52.0,639,381,0
28.7,44.5,866,893,1
22.1,52.8,400,53,0
17.1,29.8,531,526,1
29.4,35.4,498,772,0
23.5,68.0,982,967,1
29.0,40.1,927,298,0
17.6,34.3,611,522,1
21.6,58.0,970,542,1
24.0,67.8,681,448,1
24.2,60.8,791,375,1
22.2,64.9,1569,508,1
26.5,38.6,1436,0,0
19.7,28.7,400,570,1
23.4,72.5,1231,431,0
24.5,45.2,1224,344,1
26.1,46.2,440,911,1
26.8,69.9,1227,231,0
19.5,58.3,1515,299,0
17.9,56.8,450,897,1
29.1,82.5,532,191,0
25.3,40.3,1307,262,0
21.0,63.9,1008,363,1
30.2,50.9,1120,610,0
24.5,54.0,1036,451,1
28.7,72.9,1056,76,0
24.3,57.6,400,266,1
32.2,58.1,1318,248,0
31.0,66.1,1367,380,0
23.0,44.5,808,506,1
27.9,37.4,882,504,1
26.6,34.3,400,0,0
29.5,20.5,1105,665,0
20.1,80.8,1128,463,1
26.7,33.5,875,746,0
28.2,46.7,1349,511,0
17.0,45.8,766,675,1
19.3,54.6,1125,516,0
15.8,62.2,492,736,0
22.9,62.9,890,530,1
26.9,41.3,830,375,1
30.0,47.5,990,968,0
24.3,54.2,752,622,1
30.5,46.3,847,543,1
18.5,74.1,1230,80,0
17.2,57.4,725,77,0
23.8,61.0,400,473,1
25.5,59.9,1599,436,0
23.9,67.6,1452,246,0
15.7,52.7,400,435,1
23.6,30.5,1175,797,1
18.8,56.0,698,573,0
26.7,40.2,1005,114,0
25.5,42.1,1017,372,0
20.2,58.8,806,198,1
21.9,68.6,586,303,1
19.8,50.3,623,296,1
23.7,54.6,533,280,1
27.8,75.5,567,86,0
20.1,53.6,873,368,1
26.0,89.0,613,259,1
21.9,58.5,1172,0,1
20.8,23.6,1494,913,1
23.6,61.3,667,672,1
19.9,55.7,995,305,0
21.8,69.3,1099,404,1
19.2,60.1,1088,107,0
31.9,47.9,930,823,1
24.1,31.6,1197,874,1
21.2,46.9,1092,439,1
24.9,37.2,404,655,1
23.6,41.3,1247,443,1
23.1,58.8,1254,65,0
26.5,75.0,594,297,1
27.0,55.9,915,432,1
21.9,32.1,1173,286,1
21.7,56.7,816,345,1
22.9,67.9,1329,377,1
14.8,40.9,1845,379,1
17.9,48.0,585,413,1
29.5,50.2,400,134,0
30.6,38.2,1021,220,0
23.0,59.7,1188,78,1
26.3,48.2,807,644,1
25.2,56.3,1481,0,0
36.3,36.7,400,688,0
28.5,43.4,1177,746,1
23.5,60.8,657,324,1
20.2,44.4,1587,0,0
17.6,75.9,1697,309,0
24.8,44.0,593,383,1
21.0,53.4,680,147,1
18.3,64.0,1243,271,0
21.4,28.7,745,782,1
19.7,23.6,881,566,0
30.7,27.1,910,168,0
27.5,68.9,400,0,0
24.0,41.7,894,318,1
29.9,88.4,624,346,0
24.3,41.5,702,524,1
20.6,52.8,1477,266,0
30.1,73.1,400,527,1
26.2,80.1,1225,883,1
19.9,80.9,788,603,1
23.2,68.1,788,387,1
20.5,65.4,1216,354,0
18.5,58.9,1036,310,0
27.7,61.7,1128,695,0
31.6,41.7,1287,243,0
18.4,37.7,767,411,1
26.3,49.9,655,412,1
21.4,47.4,465,274,1
22.1,43.2,569,56,1
21.6,60.4,2079,480,1
20.5,64.3,1397,384,1
24.2,51.3,400,525,1
20.7,72.2,400,266,1
25.1,32.9,1092,705,0
23.8,47.1,1118,180,1
23.0,39.2,1119,828,1
20.4,22.0,798,0,0
21.7,48.8,849,508,1
27.0,48.2,1031,518,0
26.0,72.7,934,201,0
20.1,59.5,400,506,1
24.4,34.6,808,719,1
27.0,77.8,559,0,0
17.3,68.3,970,525,0
26.2,58.7,2094,0,0
21.3,46.6,1046,158,1
26.3,35.6,774,807,1
20.9,44.4,1268,254,1
16.8,66.3,1093,106,0
17.5,78.3,1068,350,0
24.2,73.1,1142,916,1
25.0,42.7,1722,0,0
20.4,33.2,447,137,1
26.6,52.1,1089,774,1
17.4,23.5,529,864,1
23.7,54.8,1122,374,1
19.2,47.8,532,90,0
21.4,43.0,733,923,1
24.2,26.1,781,798,1
20.6,57.7,1290,569,1
22.5,42.0,1267,196,0
28.0,32.5,401,387,1
21.7,6.9,921,359,1
27.3,49.6,616,482,1
19.5,76.6,400,762,1
26.1,74.9,813,619,0
29.8,43.1,776,130,0
14.1,41.0,1870,744,0
20.8,57.0,1073,478,1
26.3,35.0,400,571,1
23.2,54.5,674,766,1
25.5,61.5,1308,122,0
21.6,68.4,1735,391,1
24.3,48.5,400,267,1
23.4,46.9,400,8,1
28.7,36.8,1648,486,0
25.0,37.6,1055,1027,1
25.4,46.6,552,0,0
22.4,55.5,1113,391,1
22.0,63.7,400,560,1
22.3,38.0,901,430,1
25.6,72.4,1031,371,0
22.3,45.9,1269,75,0
25.2,49.7,494,458,1
32.3,38.8,934,210,1
27.5,13.6,529,0,0
22.7,63.3,1002,698,1
28.8,61.1,541,639,1
22.4,45.8,736,412,1
15.8,51.0,501,457,1
20.0,57.7,1160,668,1
16.5,26.6,1243,456,1
22.6,42.1,806,626,1
24.1,61.9,915,325,1
30.7,31.2,400,727,1
25.3,54.4,780,480,1
23.1,29.7,879,448,1
27.3,57.0,1948,82,0
15.2,49.5,455,471,1
24.9,25.8,1485,192,0
27.1,67.5,1298,240,0
18.1,39.0,1012,196,0
28.6,37.8,1603,133,0
25.4,53.0,1048,931,1
22.3,67.2,1055,732,1
26.5,34.8,878,880,1
33.1,50.9,1389,94,0
24.7,56.4,1338,417,1
25.0,60.4,649,76,1
22.2,52.6,400,226,1
20.6,44.5,818,170,1
27.3,37.6,579,709,1
20.6,51.3,874,300,1
24.3,33.9,1394,667,1
22.1,6.2,717,551,1
25.9,56.5,882,975,1
25.3,63.6,923,30,0
28.2,14.6,1239,714,0
22.0,34.9,400,686,1
22.9,59.3,657,156,1
20.1,80.9,984,651,1
22.2,50.3,1380,484,1
25.5,39.1,703,343,1
27.0,47.3,400,194,1
20.3,70.6,1147,220,1
27.5,40.3,645,912,1
29.4,38.0,424,400,1
25.7,42.8,650,595,1
31.5,35.7,826,202,0
20.9,51.8,658,205,1
19.0,74.4,400,670,1
16.9,54.8,1258,62,0
30.0,46.2,1409,296,0
26.6,45.6,1160,408,1
23.8,26.6,444,427,1
25.1,63.2,819,355,1
19.5,48.8,897,498,1
33.8,47.3,1139,573,0
24.5,97.9,1167,583,1
24.4,54.5,606,153,1
26.9,38.7,932,328,0
25.9,43.6,1082,698,1
24.9,67.2,1482,623,1
20.8,51.7,1181,56,0
25.9,28.4,1215,487,1
31.5,63.8,933,0,0
29.4,40.0,1464,411,0
30.4,78.1,1063,874,0
22.0,66.2,555,163,1
20.0,43.3,1461,191,0
23.5,69.2,1179,591,1
24.2,51.0,722,14,1
28.4,62.8,708,241,0
17.2,57.3,1018,549,0
30.1,37.3,1085,241,0
23.4,40.3,978,341,1
22.3,65.4,1024,586,1
20.0,45.0,1579,505,1
17.4,43.9,1328,466,0
27.3,35.7,976,315,1
24.3,56.4,1276,492,0
18.8,80.9,486,369,0
18.8,34.0,1059,514,0
22.7,50.4,1623,275,1
30.7,71.2,812,354,0
23.0,48.8,560,152,1
18.0,56.8,639,391,1
23.0,34.1,464,197,1
22.9,56.4,586,121,1
13.2,47.2,751,464,1
23.8,64.8,400,453,1
23.1,67.8,906,595,1
26.8,88.8,1260,292,0
31.4,58.7,536,502,1
28.5,54.9,1507,537,0
22.9,52.9,1104,511,1
19.6,44.7,1312,193,0
34.3,55.1,636,437,1
24.2,45.6,1241,491,1
24.1,52.5,463,401,1
23.9,69.8,1256,0,0
24.8,34.9,968,440,1
23.4,67.1,1121,953,1
21.7,69.8,429,309,1
21.8,48.2,541,217,1
23.9,18.2,1138,493,1
21.8,40.9,520,478,1
21.1,69.5,1085,698,1
24.4,49.7,400,85,1
23.0,35.0,1239,582,1
30.0,42.4,406,547,1
13.4,62.6,1120,364,0
28.4,58.2,1150,484,0
29.0,46.4,621,657,1
15.7,44.5,1132,618,0
22.6,44.1,1004,114,1
22.5,36.2,684,605,1
18.4,74.2,496,383,1
20.9,45.2,400,418,1
19.6,68.3,1039,418,1
31.0,72.8,400,362,1
27.7,65.0,938,697,1
29.1,43.5,794,379,1
26.9,56.1,1171,120,0
19.5,49.6,779,301,1
21.9,36.4,768,444,1
26.0,54.9,1192,707,0
19.1,32.3,1034,550,0
26.9,67.8,1026,187,0
23.0,43.0,1087,1021,1
22.5,53.0,400,466,1
26.8,54.2,1202,718,0
25.8,46.1,1144,362,1
22.6,58.8,493,533,1
28.6,42.9,802,609,0
19.7,63.1,884,704,1
26.5,29.8,846,664,1
26.4,51.9,1033,618,1
22.8,79.1,1472,321,1
25.3,35.0,1332,257,0
19.0,39.8,400,483,1
27.7,57.7,1148,633,1
23.3,52.7,1431,344,1
21.9,55.3,1054,666,1
28.2,57.3,1336,763,0
21.2,59.5,1704,170,1
18.4,66.6,1309,190,0
17.8,56.1,999,364,1
26.4,46.4,1318,476,0
18.9,60.1,957,268,1
31.0,78.5,909,738,0
15.7,48.0,759,506,1
30.8,35.4,1525,409,0
24.8,66.6,572,41,0
23.6,48.2,1512,71,0
21.8,17.4,1099,470,1
25.6,62.7,400,0,0
23.8,42.0,1047,653,1
28.4,48.6,400,360,1
24.5,55.0,1150,1210,1
24.6,52.9,1254,976,1
22.5,60.6,663,354,1
23.8,43.5,949,373,1
25.2,57.7,1681,648,1
17.2,46.1,697,825,1
18.6,61.1,476,0,0
27.0,59.2,1492,0,0
24.7,36.0,1685,244,0
23.3,66.3,901,545,0
24.1,42.0,1304,524,1
25.4,62.1,1436,667,0
21.8,55.5,603,100,1
20.9,77.6,705,0,1
24.8,46.6,1392,614,0
20.1,44.8,1574,192,0
25.6,49.7,1125,0,0
17.2,45.5,548,436,1
28.1,62.0,1694,598,0
25.9,25.8,687,369,1
25.0,34.2,765,285,1
27.9,34.0,1036,360,1
30.7,64.3,1521,307,0
28.1,75.7,1241,62,0
16.6,48.4,1065,221,1
18.9,47.5,1085,530,1
21.5,51.1,917,480,1
24.1,67.4,1123,442,1
26.1,36.1,400,151,1
21.1,53.6,781,354,1
24.7,64.6,996,0,0
21.0,57.5,439,444,1
21.6,52.8,1054,757,1
18.4,65.0,818,31,0
20.3,9.5,1602,253,1
18.6,60.2,1529,482,0
20.1,40.2,713,713,1
28.2,22.5,839,287,0
20.2,57.7,870,226,1
34.5,70.6,719,0,0
26.0,47.9,978,425,0
24.7,64.3,596,910,1
20.6,74.2,447,469,1
26.8,69.7,1149,394,1
21.7,74.6,1151,480,1
24.5,61.1,578,397,1
34.2,51.1,1258,196,0
23.6,26.0,647,605,1
28.6,46.3,1001,456,0
21.2,37.4,1228,404,1
23.9,82.6,886,156,0
31.1,47.4,1081,725,0
21.5,51.8,693,566,1
31.2,58.3,821,261,0
26.8,50.7,817,650,1
21.8,75.4,601,275,1
26.5,40.7,829,204,1
27.9,52.9,400,210,1
26.5,38.9,703,0,0
17.7,30.2,786,517,1
21.1,40.8,797,0,1
23.0,49.4,803,92,1
23.7,43.6,875,0,0
26.5,39.6,1091,378,0
24.7,28.9,1249,362,1
18.7,48.8,640,318,1
25.5,27.4,418,139,0
26.4,61.4,483,106,0
26.2,51.2,705,516,1
28.3,28.1,759,262,0
27.3,45.4,592,479,1
25.8,38.7,400,178,1
23.7,54.8,717,445,1
17.4,70.1,972,725,0
25.7,21.9,1138,546,0
24.8,51.7,677,296,1
25.1,47.6,734,464,1
18.9,60.1,529,339,1
19.7,53.2,887,401,1
28.2,38.7,560,318,0
23.8,45.2,1129,358,1
26.7,38.1,400,453,0
24.1,66.1,756,151,0
24.1,50.3,1020,146,1
27.8,78.5,973,52,0
21.9,49.1,1977,0,0
24.4,39.4,1039,95,0
22.2,27.3,498,439,1
22.3,23.0,861,176,1
22.8,26.2,400,528,1
24.9,54.0,867,408,1
22.1,57.6,566,0,1
29.0,26.3,1266,563,0
20.4,63.4,680,602,1
23.3,42.8,853,151,1
22.2,52.2,645,505,1
29.8,74.2,1595,185,0
24.8,63.5,771,424,1
28.1,46.0,1633,83,0
18.1,36.6,1225,0,0
25.1,17.7,1092,304,1
27.6,39.2,1047,369,0
24.3,46.8,1057,300,1
28.3,35.2,400,103,0
21.9,48.0,788,300,1
29.6,51.2,1238,467,0
33.2,46.6,880,388,0
22.5,40.2,400,445,1
22.2,52.5,879,232,1
29.8,56.6,1581,692,0
30.3,33.6,1398,105,0
21.9,71.2,875,521,1
22.3,48.5,1280,695,1
22.9,50.3,753,520,1
18.6,60.6,400,349,1
20.3,53.5,530,267,1
20.0,64.3,1525,659,1
20.9,54.3,790,44,1
23.9,40.8,802,157,0
24.9,55.4,780,300,1
30.2,32.8,1661,709,0
20.0,51.6,1550,494,1
27.9,49.5,1787,157,0
23.1,46.9,836,322,1
23.8,48.1,1018,246,1
26.7,21.8,400,222,1
19.5,41.8,1490,644,1
25.5,51.4,432,57,0
24.7,52.4,986,802,1
26.0,34.6,461,607,1
25.2,69.0,664,672,0
33.8,37.0,565,284,0
21.4,64.5,656,362,1
21.9,56.4,684,41,1
21.5,40.3,680,268,0
21.8,76.6,1233,523,1
21.5,32.1,458,724,1
28.8,63.8,988,123,0
29.7,65.0,1387,308,0
21.7,39.9,694,362,1
20.7,70.9,612,51,1
25.9,46.2,807,547,1
21.8,54.3,1371,219,1
26.5,53.9,977,351,1
24.8,48.0,687,287,1
17.9,62.2,1093,202,0
30.2,61.9,459,398,0
31.2,23.8,1172,346,0
21.5,69.6,1063,307,1
22.4,25.1,776,217,0
25.1,65.5,564,479,1
25.3,66.9,545,813,1
26.6,33.6,1113,434,1
32.0,43.8,1391,649,0
23.3,33.4,645,52,1
20.8,46.8,1083,439,1
18.5,45.4,400,125,0
21.1,61.7,666,30,1
23.9,69.7,887,215,1
31.2,70.9,536,697,0
21.9,41.6,525,637,1
24.9,46.9,632,460,1
23.9,24.7,1016,16,0
28.8,37.9,825,350,1
34.1,64.5,400,475,1
21.9,74.2,400,443,1
22.0,31.5,657,0,1
28.2,41.1,1083,177,0
26.7,49.6,400,383,1
31.4,54.2,700,534,0
26.3,37.9,689,0,0
22.6,56.4,1455,359,1
26.4,42.9,745,435,1
28.4,49.8,1053,612,0
27.3,58.2,956,573,0
26.0,50.1,400,545,1
28.3,43.5,1207,200,0
28.7,48.4,986,0,0
29.5,48.7,1103,301,0
26.6,44.4,2470,650,0
23.3,46.1,400,748,1
24.6,74.0,1589,577,0
28.8,58.4,785,507,1
20.7,45.6,1014,494,1
25.5,60.5,881,260,0
22.4,45.0,730,367,1
24.1,67.6,672,817,1
29.1,55.5,1031,164,0
24.8,48.4,400,803,1
24.2,56.7,1200,319,1
18.6,26.4,733,731,1
27.0,33.1,447,48,0
26.6,32.1,719,546,1
32.7,52.1,1402,215,0
22.8,76.0,685,46,0
24.9,83.5,1043,454,1
25.0,59.6,607,652,1
30.3,57.5,1203,188,0
23.6,23.0,1174,25,0
25.1,41.9,1639,377,0
26.4,38.2,829,378,1
24.7,40.7,1167,537,1
22.2,47.5,939,637,1
24.8,42.9,1418,385,1
28.3,20.3,612,863,1
19.9,61.2,1198,456,1
24.5,33.9,822,313,1
21.2,53.6,874,0,1
28.8,81.1,936,334,0
17.9,36.2,1000,315,1
21.8,12.0,853,640,1
25.5,45.7,985,515,1
30.3,66.5,1531,105,0
23.7,79.4,1294,443,1
21.8,31.6,1247,567,1
31.5,57.5,717,782,0
18.2,43.0,544,621,1
15.2,48.4,1282,590,1
25.8,89.7,1250,415,0
22.0,27.5,1489,497,1
19.9,53.8,658,712,1
26.8,57.0,808,66,0
25.0,66.3,400,312,1
21.7,51.5,743,206,1
18.9,54.6,1298,494,0
27.5,44.1,713,707,1
26.6,54.0,1156,250,0
23.6,44.9,823,0,0
31.4,59.3,1029,296,1
19.7,44.5,440,628,1
17.9,55.7,934,534,0
21.2,49.6,400,507,1
23.8,66.9,825,330,1
25.0,49.2,400,80,1
23.0,23.4,1382,528,1
25.4,68.9,1210,191,0
19.0,36.4,1086,946,1
29.8,40.2,1508,542,0
23.7,41.1,520,254,1
28.5,70.6,1598,247,0
25.4,18.0,1272,376,0
25.8,97.1,805,340,1
26.3,65.8,1354,679,0
25.8,53.3,457,446,1
26.6,49.2,570,217,1
29.3,54.3,656,872,0
24.8,57.8,688,412,1
26.8,59.7,477,592,1
23.6,58.3,1389,247,0
29.8,51.3,796,490,1
